,Parents_education_year,mean_math,mean_reading,mean_science,mean_wealth,mean_entertainment,mean_possessions,size,SR_size
1,"(2,7]",420.4794938,429.0645157,427.9420087,0.515507014,1.274688777,0.452667991,15611,124.9439875
2,"(7,10]",451.7719139,455.7392427,457.0586157,1.210829372,1.69730785,1.136351786,35135,187.4433248
3,"(10,11]",491.4568315,486.6995142,495.2664386,1.486127312,2.051997423,1.549285863,14437,120.1540678
4,"(11,12]",480.9368485,485.4911927,489.6181717,1.72784514,1.909410875,1.681246171,56477,237.6489007
5,"(12,13]",508.2847006,504.6049358,510.8260922,1.934854281,2.05883161,2.010063752,27450,165.6804153
6,"(13,14]",484.7737492,489.9078755,488.4880643,1.668622088,1.910479777,1.722853127,18499,136.011029
7,"(14,15]",509.0193661,509.8517707,516.4789291,2.030699532,2.060424391,2.098970434,31421,177.2596965
8,"(15,16]",513.3036995,511.0685923,514.8500896,1.901064613,1.950067105,2.04918858,39930,199.8249234
9,"(16,18]",522.4261248,520.6331382,527.3046158,2.229898475,2.101855864,2.398076189,44521,211
